model,mode,category,n,semantic_ok,unsafe_state_change,unintended_drift,identity_error,authorized_write_precision,authorized_write_recall,mean_collateral_writes
NousResearch/Hermes-4-405B,json_patch,add_item,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-405B,json_patch,constraint_add_safe,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-405B,json_patch,constraint_new_conflict,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-405B,json_patch,modifier_add_scoped,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-405B,json_patch,modifier_reversal,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-405B,json_patch,quantity_decrease,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-405B,json_patch,quantity_increase,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-405B,json_patch,remove_scoped_duplicate,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-405B,json_patch,replace_item,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-405B,json_patch,size_change_scoped,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-405B,json_patch,stale_reference,90,0.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,json_patch,unavailable_add,90,0.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,line_patch,add_item,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,line_patch,constraint_add_safe,90,57.77777777777777,0.0,15.555555555555555,15.555555555555555,65.37037037037037,73.33333333333333,0.43333333333333335
NousResearch/Hermes-4-405B,line_patch,constraint_new_conflict,90,67.77777777777779,23.333333333333332,4.444444444444445,4.444444444444445,73.33333333333333,75.55555555555556,0.23333333333333334
NousResearch/Hermes-4-405B,line_patch,modifier_add_scoped,90,96.66666666666667,0.0,3.3333333333333335,3.3333333333333335,98.33333333333333,100.0,0.03333333333333333
NousResearch/Hermes-4-405B,line_patch,modifier_reversal,90,63.33333333333333,0.0,0.0,0.0,69.44444444444444,75.55555555555556,0.36666666666666664
NousResearch/Hermes-4-405B,line_patch,quantity_decrease,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,line_patch,quantity_increase,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,line_patch,remove_scoped_duplicate,90,94.44444444444444,0.0,3.3333333333333335,3.3333333333333335,94.44444444444444,94.44444444444444,0.03333333333333333
NousResearch/Hermes-4-405B,line_patch,replace_item,90,83.33333333333334,0.0,0.0,0.0,83.33333333333334,83.33333333333334,0.0
NousResearch/Hermes-4-405B,line_patch,size_change_scoped,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,line_patch,stale_reference,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,line_patch,unavailable_add,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,rewrite_with_ids,add_item,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,rewrite_with_ids,constraint_add_safe,90,63.33333333333333,0.0,0.0,0.0,73.33333333333333,73.33333333333333,0.26666666666666666
NousResearch/Hermes-4-405B,rewrite_with_ids,constraint_new_conflict,90,73.33333333333333,23.333333333333332,0.0,0.0,76.66666666666667,76.66666666666667,0.23333333333333334
NousResearch/Hermes-4-405B,rewrite_with_ids,modifier_add_scoped,90,93.33333333333333,0.0,0.0,0.0,96.66666666666667,100.0,0.06666666666666667
NousResearch/Hermes-4-405B,rewrite_with_ids,modifier_reversal,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,rewrite_with_ids,quantity_decrease,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,rewrite_with_ids,quantity_increase,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,rewrite_with_ids,remove_scoped_duplicate,90,80.0,0.0,0.0,0.0,80.0,80.0,0.022222222222222223
NousResearch/Hermes-4-405B,rewrite_with_ids,replace_item,90,0.0,0.0,0.0,0.0,0.0,0.0,2.0
NousResearch/Hermes-4-405B,rewrite_with_ids,size_change_scoped,90,81.11111111111111,0.0,0.0,0.0,81.11111111111111,81.11111111111111,0.0
NousResearch/Hermes-4-405B,rewrite_with_ids,stale_reference,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-405B,rewrite_with_ids,unavailable_add,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-70B,json_patch,add_item,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-70B,json_patch,constraint_add_safe,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-70B,json_patch,constraint_new_conflict,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-70B,json_patch,modifier_add_scoped,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-70B,json_patch,modifier_reversal,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-70B,json_patch,quantity_decrease,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-70B,json_patch,quantity_increase,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-70B,json_patch,remove_scoped_duplicate,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-70B,json_patch,replace_item,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-70B,json_patch,size_change_scoped,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NousResearch/Hermes-4-70B,json_patch,stale_reference,90,0.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-70B,json_patch,unavailable_add,90,0.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-70B,line_patch,add_item,90,84.44444444444444,0.0,0.0,0.0,84.44444444444444,84.44444444444444,0.0
NousResearch/Hermes-4-70B,line_patch,constraint_add_safe,90,37.77777777777778,0.0,0.0,0.0,52.22222222222223,52.22222222222223,0.14444444444444443
NousResearch/Hermes-4-70B,line_patch,constraint_new_conflict,90,3.3333333333333335,3.3333333333333335,0.0,0.0,43.333333333333336,43.333333333333336,0.0
NousResearch/Hermes-4-70B,line_patch,modifier_add_scoped,90,96.66666666666667,0.0,3.3333333333333335,3.3333333333333335,98.33333333333333,100.0,0.03333333333333333
NousResearch/Hermes-4-70B,line_patch,modifier_reversal,90,5.555555555555555,0.0,0.0,0.0,22.22222222222222,38.88888888888889,0.5555555555555556
NousResearch/Hermes-4-70B,line_patch,quantity_decrease,90,94.44444444444444,0.0,1.1111111111111112,1.1111111111111112,95.0,95.55555555555556,0.06666666666666667
NousResearch/Hermes-4-70B,line_patch,quantity_increase,90,100.0,0.0,0.0,0.0,100.0,100.0,0.0
NousResearch/Hermes-4-70B,line_patch,remove_scoped_duplicate,90,70.0,0.0,0.0,0.0,70.0,70.0,0.0
