model,metric,n,rewrite_rate,line_patch_rate,diff_patch_minus_rewrite,ci_low,ci_high,rewrite_only_successes,patch_only_successes,mcnemar_p
Qwen/Qwen3-235B-A22B-Instruct-2507,semantic_ok,360,86.11111111111111,83.88888888888889,-2.2222222222222223,-4.722222222222222,0.2777777777777778,15,7,0.13380050659179688
Qwen/Qwen3-30B-A3B-Instruct-2507,semantic_ok,360,74.16666666666667,70.0,-4.166666666666667,-8.61111111111111,0.2777777777777778,42,27,0.09118649056701152
Qwen/Qwen3-32B,semantic_ok,360,64.72222222222223,80.83333333333333,16.11111111111111,11.11111111111111,21.11111111111111,19,77,1.8621521769948975e-09
google/gemma-2-2b-it,semantic_ok,360,0.0,0.0,0.0,0.0,0.0,0,0,1.0
meta-llama/Llama-3.3-70B-Instruct,semantic_ok,360,76.66666666666667,72.77777777777777,-3.888888888888889,-7.777777777777778,0.0,34,20,0.07590472948910143
meta-llama/Meta-Llama-3.1-8B-Instruct,semantic_ok,360,25.27777777777778,48.05555555555556,22.77777777777778,16.944444444444443,28.88888888888889,27,109,7.048816900472416e-13
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,semantic_ok,360,79.72222222222223,78.33333333333333,-1.3888888888888888,-4.166666666666667,1.3888888888888888,17,12,0.45825831964612007
Qwen/Qwen3-235B-A22B-Instruct-2507,unsafe_state_change,360,1.9444444444444444,0.5555555555555556,-1.3888888888888888,-2.7777777777777777,0.0,6,1,0.125
Qwen/Qwen3-30B-A3B-Instruct-2507,unsafe_state_change,360,6.944444444444445,7.222222222222222,0.2777777777777778,-1.1111111111111112,1.6666666666666667,3,4,1.0
Qwen/Qwen3-32B,unsafe_state_change,360,21.944444444444443,7.222222222222222,-14.722222222222221,-18.61111111111111,-10.833333333333334,55,2,2.295386103412511e-14
google/gemma-2-2b-it,unsafe_state_change,360,1.9444444444444444,11.11111111111111,9.166666666666666,6.111111111111111,12.222222222222221,2,35,1.0244548320770264e-08
meta-llama/Llama-3.3-70B-Instruct,unsafe_state_change,360,3.0555555555555554,2.7777777777777777,-0.2777777777777778,-0.8333333333333334,0.0,1,0,1.0
meta-llama/Meta-Llama-3.1-8B-Instruct,unsafe_state_change,360,9.722222222222221,6.944444444444445,-2.7777777777777777,-5.555555555555555,0.0,18,8,0.07551869750022888
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,unsafe_state_change,360,0.0,0.0,0.0,0.0,0.0,0,0,1.0
Qwen/Qwen3-235B-A22B-Instruct-2507,unintended_drift,360,0.0,0.8333333333333334,0.8333333333333334,0.0,1.9444444444444444,0,3,0.25
Qwen/Qwen3-30B-A3B-Instruct-2507,unintended_drift,360,3.611111111111111,5.277777777777778,1.6666666666666667,0.0,3.3333333333333335,2,8,0.109375
Qwen/Qwen3-32B,unintended_drift,360,5.833333333333333,4.444444444444445,-1.3888888888888888,-3.3333333333333335,0.5555555555555556,9,4,0.266845703125
google/gemma-2-2b-it,unintended_drift,360,0.8333333333333334,0.0,-0.8333333333333334,-1.9444444444444444,0.0,3,0,0.25
meta-llama/Llama-3.3-70B-Instruct,unintended_drift,360,4.444444444444445,2.7777777777777777,-1.6666666666666667,-3.0555555555555554,-0.5555555555555556,6,0,0.03125
meta-llama/Meta-Llama-3.1-8B-Instruct,unintended_drift,360,29.444444444444443,11.38888888888889,-18.055555555555557,-23.055555555555557,-13.333333333333334,78,13,1.8477591781478763e-12
nvidia/Llama-3_1-Nemotron-Ultra-253B-v1,unintended_drift,360,0.0,0.2777777777777778,0.2777777777777778,0.0,0.8333333333333334,0,1,1.0
